Material ID,Description
"PLM000120","test"
"PLM001001","Test Top Assembly"
"PLM001002","Child1"
"PLM001003","Child2"
"PLM001004","Asm"
"PLM001005","Child1"
"PLM001006","Child2"
"PLM001007","Asm"
"PLM001008","Child1"
"PLM001009","Child2"
"PLM001231","Part1"
"PLM001232","Part2"
"PLM001233","test"
"PLM001234","Part1"
"PLM0012345","test"
"PLM001235","testA"
"PLM001236","TeestB"
"PLM001237","Test1237"
"PLM001238","Test1238"
"PLM001239","test"
"PLM001240","change diameter"
"PLM001241","Comp1"
"PLM001242","Comp2"
"PLM001243","Comp3"
"PLM001244","Comp4"
"PLM001245","Comp5"
"PLM0012452","Paredxt2"
"PLM001301","TPOP BOMline"
"PLM001303","Child2"
"PLM001304","child3"
"PLM001305","Top assembly"
"PLM001306","Child1"
"PLM001307","CHild2"
"PLM001308","TOP Assembly"
"PLM001309","Child 1"
"PLM001310","Child 2"
"PLM001311","Aseembly"
"PLM001312","Test child 1"
"PLM001313","Child 2 test"
"PLM_01","Test PLM"
"PLM_02","PLM 02 Test"
"PLM_MAT01","Testing Mat01"
"PLM_MAT02","Testing Mat01"
"PLM_MAT03","Testing Mat01"
"PLM_MAT04","Testing Mat01"
"PLM_MAT_0001","PLM MATERIAL TESTING CUSTOM FM"
"PLM_MAT_S25","Testing"
