Material ID,Description
"000000000000000000","Liquid Raw Material E"
"000000000000000001","infodba (infodba)"
"000000000000000002","infodba (infodba)"
"000000000000000003","TestWTPart_0060902"
"000000000000000004","TestWTPart1"
"000000000000000005","TestWTPart2"
"000000000000000006","TestWTPart3"
"000000000000000007","TestWTPart5"
"000000000000000008","TestWTPart7"
"000000000000000009","fuselage"
"000000000000000010","landinggear"
"000000000000000011","infodba (infodba)"
"000000000000000012","infodba (infodba)"
"000000000000000013","infodba (infodba)"
"000000000000000014","Test"
"000000000000000015","Testing"
"000000000000000016","infodba (infodba)"
"000000000000000017","infodba (infodba)"
"000000000000000018","infodba (infodba)"
"000000000000000019","infodba (infodba)"
"000000000000000020","TEST5"
"000000000000000021","Fuel Injection Pump"
"000000000000000022","infodba (infodba)"
"000000000000000023","infodba (infodba)"
"000000000000000024","infodba (infodba)"
"000000000000000025","infodba (infodba)"
"000000000000000026","test123"
"000000000000000031","Stearing"
"000000000000000032","Accumulator"
"000000000000000033","TEST5"
"000000000000000034","infodba"
"000000000000000035","infodba (infodba)"
"000000000000000036","TEST5"
"000000000000000037","TEST5"
"000000000000000041","infodba (infodba)"
"000000000000000043","Battery"
"000000000000000045","Seats"
"000000000000000051","Pre-painted steel sheet (Colorbond M)"
"000000000000000052","Test"
"000000000000000053","TEST2"
"000000000000000054","TEST2"
"000000000000000055","TEST2"
"000000000000000057","Trading Goods Test"
"000000000000000059","MPN_TEST"
"000000000000000060","MPN_TEST_1"
"000000000000000082","Material Scrap - 82"
"000000000000000091","Material Scrap ARDS"
"000000000000000102","Packaging_1"
"000000000000000103","Bundle"
"000000000000000129","Bike engine"
"000000000000000130","Piston Rods"
"000000000000000131","0123456789012345678901234567890123456789"
"000000000000000134","piston rings"
"000000000000000141","test material"
"000000000000000142","test raw material"
"000000000000000151","Test 1"
"000000000000000161","infodba (infodba)"
"000000000000000162","infodba (infodba)"
"000000000000000170","Manufacturing Pen"
"000000000000000171","grip"
"000000000000000172","Cap"
"000000000000000174","Manufacturing Pen"
"000000000000000176","material"
"000000000000000181","infodba (infodba)"
"000000000000000182","material for BDC"
"000000000000000183","material"
"000000000000000184","material for BDC"
"000000000000000185","material for BDC"
"000000000000000186","material for BDC"
"000000000000000187","material for BDC"
"000000000000000188","material for BDC"
"000000000000000189","material for BDC"
"000000000000000190","material for BDC"
"000000000000000191","material for BDC"
"000000000000000192","material for BDC"
"000000000000000193","material for BDC"
"000000000000000194","material for BDC"
"000000000000000195","material for BDC"
"000000000000000196","material for BDC"
"000000000000000197","material for BDC"
"000000000000000198","material for BDC"
"000000000000000199","material for BDC"
"000000000000000200","material for BDC"
"000000000000000201","material for BDC"
"000000000000000202","material for BDC"
"000000000000000203","material for BDC"
"000000000000000204","material for BDC"
"000000000000000205","material for BDC"
"000000000000000206","material for BDC"
"000000000000000207","material for BDC"
"000000000000000208","material for BDC"
"000000000000000209","material for BDC"
"000000000000000210","material for BDC"
"000000000000000211","material for BDC"
"000000000000000212","material for BDC"
"000000000000000213","material for BDC"
"000000000000000214","John Wayne (jwayne)"
"000000000000000215","John Wayne (jwayne)"
"000000000000000216","material for BDC"
"000000000000000217","John Wayne (jwayne)"
