Material ID,Description
"000000000000000000","Liquid Raw Material E"
"000000000000000001","infodba (infodba)"
"000000000000000002","infodba (infodba)"
"000000000000000003","TestWTPart_0060902"
"000000000000000004","TestWTPart1"
"000000000000000005","TestWTPart2"
"000000000000000006","TestWTPart3"
"000000000000000007","TestWTPart5"
"000000000000000008","TestWTPart7"
"000000000000000009","fuselage"
"000000000000000010","landinggear"
"000000000000000011","infodba (infodba)"
"000000000000000012","infodba (infodba)"
"000000000000000013","infodba (infodba)"
"000000000000000014","Test"
"000000000000000015","Testing"
"000000000000000016","infodba (infodba)"
"000000000000000017","infodba (infodba)"
"000000000000000018","infodba (infodba)"
"000000000000000019","infodba (infodba)"
"000000000000000020","TEST5"
"000000000000000021","Fuel Injection Pump"
"000000000000000022","infodba (infodba)"
"000000000000000023","infodba (infodba)"
"000000000000000024","infodba (infodba)"
"000000000000000025","infodba (infodba)"
"000000000000000026","test123"
"000000000000000031","Stearing"
"000000000000000032","Accumulator"
"000000000000000033","TEST5"
"000000000000000034","infodba"
"000000000000000035","infodba (infodba)"
"000000000000000036","TEST5"
"000000000000000037","TEST5"
"000000000000000041","infodba (infodba)"
"000000000000000043","Battery"
"000000000000000045","Seats"
"000000000000000051","Pre-painted steel sheet (Colorbond M)"
"000000000000000052","Test"
"000000000000000053","TEST2"
"000000000000000054","TEST2"
"000000000000000055","TEST2"
"000000000000000057","Trading Goods Test"
"000000000000000059","MPN_TEST"
"000000000000000060","MPN_TEST_1"
"000000000000000082","Material Scrap - 82"
"000000000000000091","Material Scrap ARDS"
"000000000000000102","Packaging_1"
"000000000000000103","Bundle"
"000000000000000129","Bike engine"
"000000000000000130","Piston Rods"
"000000000000000131","0123456789012345678901234567890123456789"
"000000000000000134","piston rings"
"000000000000000141","test material"
"000000000000000142","test raw material"
"000000000000000151","Test 1"
"000000000000000161","infodba (infodba)"
"000000000000000162","infodba (infodba)"
"000000000000000170","Manufacturing Pen"
"000000000000000171","grip"
"000000000000000172","Cap"
"000000000000000174","Manufacturing Pen"
"000000000000000176","material"
"000000000000000181","infodba (infodba)"
"000000000000000182","material for BDC"
"000000000000000183","material"
"000000000000000184","material for BDC"
"000000000000000185","material for BDC"
"000000000000000186","material for BDC"
"000000000000000187","material for BDC"
"000000000000000188","material for BDC"
"000000000000000189","material for BDC"
"000000000000000190","material for BDC"
"000000000000000191","material for BDC"
"000000000000000192","material for BDC"
"000000000000000193","material for BDC"
"000000000000000194","material for BDC"
"000000000000000195","material for BDC"
"000000000000000196","material for BDC"
"000000000000000197","material for BDC"
"000000000000000198","material for BDC"
"000000000000000199","material for BDC"
"000000000000000200","material for BDC"
"000000000000000201","material for BDC"
"000000000000000202","material for BDC"
"000000000000000203","material for BDC"
"000000000000000204","material for BDC"
"000000000000000205","material for BDC"
"000000000000000206","material for BDC"
"000000000000000207","material for BDC"
"000000000000000208","material for BDC"
"000000000000000209","material for BDC"
"000000000000000210","material for BDC"
"000000000000000211","material for BDC"
"000000000000000212","material for BDC"
"000000000000000213","material for BDC"
"000000000000000214","John Wayne (jwayne)"
"000000000000000215","John Wayne (jwayne)"
"000000000000000216","material for BDC"
"000000000000000217","John Wayne (jwayne)"
"000000000000000218","John Wayne (jwayne)"
"000000000000000219","material for BDC"
"000000000000000220","material for BDC"
"000000000000000221","unbw testing mat"
"000000000000000222","material for BDC"
"000000000000000223","material for BDC"
"000000000000000224","material for BDC"
"000000000000000225","material for BDC"
"000000000000000226","material for BDC"
"000000000000000227","material for BDC"
"000000000000000228","material for BDC"
"000000000000000229","material for BDC"
"000000000000000230","material for BDC"
"000000000000000231","material for BDC"
"000000000000000232","material for BDC"
"000000000000000233","material for BDC"
"000000000000000234","material for BDC"
"000000000000000241","material for BDC"
"000000000000000242","material for BDC"
"000000000000000243","material for BDC"
"000000000000000244","material for BDC"
"000000000000000245","material for BDC"
"000000000000000246","material for BDC"
"000000000000000247","material for BDC"
"000000000000000248","material for BDC"
"000000000000000249","material for BDC"
"000000000000000250","material for BDC"
"000000000000000251","material for BDC"
"000000000000000252","material for BDC"
"000000000000000253","material for BDC"
"000000000000000254","material for BDC"
"000000000000000255","material for BDC"
"000000000000000256","material for BDC"
"000000000000000257","material for BDC"
"000000000000000258","material for BDC"
"000000000000000259","material for BDC"
"000000000000000260","material for BDC"
"000000000000000261","Test"
"000000000000000262","tEST rm"
"000000000000000263","material for BDC"
"000000000000000264","material for BDC"
"000000000000000265","material for BDC"
"000000000000000266","material for BDC"
"000000000000000267","material for BDC"
"000000000000000268","material for BDC"
"000000000000000269","material for BDC"
"000000000000000270","material for BDC"
"000000000000000271","material for BDC"
"000000000000000272","material for BDC"
"000000000000000273","material for BDC"
"000000000000000274","material for BDC"
"000000000000000275","material for BDC"
"000000000000000276","material for BDC"
"000000000000000277","material for BDC"
"000000000000000278","material for BDC"
"000000000000000279","material for BDC"
"000000000000000280","material for BDC"
"000000000000000281","material for BDC"
"000000000000000282","Engine Blade"
"000000000000000283","material for BDC"
"000000000000000284","material for BDC"
"000000000000000285","material for BDC"
"000000000000000286","material for BDC"
"000000000000000287","material for BDC"
"000000000000000288","material for BDC"
"000000000000000289","material for BDC"
"000000000000000290","material for BDC"
"000000000000000291","material for BDC"
"000000000000000292","Test LSMW"
"000000000000000293","material for BDC"
"000000000000000294","material for BDC"
"000000000000000295","material for BDC"
"000000000000000296","material for BDC"
"000000000000000297","material for BDC"
"000000000000000298","material for BDC"
"000000000000000299","material for BDC"
"000000000000000300","material for BDC"
"000000000000000301","material for BDC"
"000000000000000302","Finished Product"
"000000000000000303","material for BDC"
"000000000000000304","material for BDC"
"000000000000000305","material for BDC"
"000000000000000306","material for BDC"
"000000000000000307","material for BDC"
"000000000000000308","material for BDC"
"000000000000000309","material for BDC"
"000000000000000310","material for BDC"
"000000000000000311","material for BDC"
"000000000000000312","material for BDC"
"000000000000000313","material for BDC"
"000000000000000314","material for BDC"
"000000000000000315","material for BDC"
"000000000000000316","material for BDC"
"000000000000000317","material for BDC"
"000000000000000318","material for BDC"
"000000000000000319","material for BDC"
"000000000000000320","material for BDC"
"000000000000000321","material for BDC"
"000000000000000322","material for BDC"
"000000000000000323","material for BDC"
"000000000000000324","material for BDC"
"000000000000000325","material for BDC"
"000000000000000327","material for BDC"
"000000000000000328","material for BDC"
"000000000000000329","material for BDC"
"000000000000000330","material for BDC"
"000000000000000331","material for BDC"
"000000000000000332","material for BDC"
"000000000000000333","material for BDC"
"000000000000000334","material for BDC"
"000000000000000335","material for BDC"
"000000000000000336","material for BDC"
"000000000000000337","material for BDC"
"000000000000000338","material for BDC"
"000000000000000339","material for BDC"
"000000000000000340","material for BDC"
"000000000000000354","'ar Tier"
"000000000000000355","John Wayne (jwayne)"
"000000000000000358","Material for bapi"
"000000000000000361","material for BDC"
"000000000000000362","material for BDC"
"000000000000000363","material for BDC"
"000000000000000364","material for BDC"
"000000000000000365","material for BDC"
"000000000000000366","material for BDC"
"000000000000000367","material for BDC"
"000000000000000376","New Dicor Engine  02"
"000000000000000387","ytgfrdesa"
"000000000000000402","raw material 1"
"000000000000000403","raw material 2"
"000000000000000405","semi finished material"
"000000000000000406","raw material 3"
"000000000000000407","finished goods 1"
"000000000000000409","raw material 4"
"000000000000000411","LCA Tejas"
"000000000000000412","LCA Engine"
"000000000000000413","LCA Body"
"000000000000000414","LCA Fan"
"000000000000000416","LCA Engine Piston"
"000000000000000417","LCA Engine Piston Rings"
"000000000000000422","LCA Fan 200"
"000000000000000424","hhh"
"000000000000000425","hh"
"000000000000000426","material for BDC"
"000000000000000427","material for BDC"
"000000000000000428","material for BDC"
"000000000000000429","material for BDC"
"000000000000000430","material for BDC"
"000000000000000431","material for BDC"
"000000000000000432","raw"
"000000000000000433","raw1"
"000000000000000434","John Wayne (jwayne)"
"000000000000000435","material for BDC"
"000000000000000436","material for BDC"
"000000000000000437","material for BDC"
"000000000000000438","material for BDC"
"000000000000000439","material for BDC"
"000000000000000440","material for BDC"
"000000000000000441","raw"
"000000000000000442","material for BDC"
"000000000000000443","material for BDC"
"000000000000000444","John Wayne (jwayne)"
"000000000000000445","material for BDC"
"000000000000000446","material for BDC"
"000000000000000447","material for BDC"
"000000000000000448","material for BDC"
"000000000000000449","material for BDC"
"000000000000000450","material for BDC"
"000000000000000451","material for BDC"
"000000000000000463","fert"
"000000000000000464","ROH"
"000000000000000465","ROH1"
"000000000000000468","LCA Design formula"
"000000000000000470","AKHH"
"000000000000000471","AKh1"
"000000000000000472","AKh2"
"000000000000000481","raw mat"
"000000000000000482","Alloy Wheel Assembly"
"000000000000000483","Steel Wheel Assembly"
"000000000000000485","150cc Engine Assy"
"000000000000000486","150cc Engine Assy"
"000000000000000492","Pen Pencil"
"000000000000000493","Pen Pencil Grip"
"000000000000000494","Pen Pencil Cap"
"000000000000000513","R1T MTS"
"000000000000000514","R1T MTO"
"000000000000000517","Test ROH Material"
"000000000000000518","test SFG material"
"000000000000000520","test SFG material - ROH"
"000000000000000521","raw maerial"
"000000000000000531","raw maerial"
"000000000000000532","semi finished"
"000000000000000533","finished"
"000000000000000535","R1T Adventure"
"000000000000000537","RAW MATERIAL 01"
"000000000000000538","FINISHED GOODS"
"000000000000000539","RAW MATERIAL 01"
"000000000000000540","FINISHED GOODS"
"000000000000000541","RAW MATERIAL 01"
"000000000000000542","R-Test Material"
"000000000000000543","FINISHED GOODS"
"000000000000000544","RAW MATERIAL 01"
"000000000000000546","FINISHED GOODS"
"000000000000000548","RAW MATERIAL 01"
"000000000000000550","R1T New"
"000000000000000552","RAW MATERIAL 01"
"000000000000000554","FINISHED GOODS"
"000000000000000562","ROH for EWM Testing"
"000000000000000563","RAW MATERIAL 01"
"000000000000000564","FINISHED GOODS"
"000000000000000566","RAW MATERIAL 01"
"000000000000000567","FINISHED GOODS"
"000000000000000573","RAW MATERIAL 01"
"000000000000000574","RAW MATERIAL 01"
"000000000000000575","FINISHED GOODS"
"000000000000000577","John Wayne (jwayne)"
"000000000000000586","John Wayne (jwayne)"
"000000000000000587","John Wayne (jwayne)"
"000000000000000588","John Wayne (jwayne)"
"000000000000000589","John Wayne (jwayne)"
"000000000000000590","DECS01"
"000000000000000591","desc01"
"000000000000000592","desc01"
"000000000000000593","desc01"
"000000000000000594","TEST MATERIAL iJLR"
"000000000000000599","0aluation test 1"
"000000000000000601","DEC00"
"000000000000000602","DEC00"
"000000000000000603","DC"
"000000000000000604","GT"
"000000000000000605","DESC01KG"
"000000000000000606","DESC02KG"
"000000000000000607","DESC01 KG"
"000000000000000608","DESC02 KG"
"000000000000000609","DESC01 KG"
"000000000000000610","DESC02 KG"
"000000000000000611","DES03"
"000000000000000612","FF"
"000000000000000613","G"
"000000000000000614","G"
"000000000000000615","ER"
"000000000000000616","DEC00"
"000000000000000617","DESC02 KG"
"000000000000000618","G"
"000000000000000619","DESC01KG"
"000000000000000620","DESC02KG"
"000000000000000621","da"
"000000000000000622","fg"
"000000000000000623","descdesc"
"000000000000000624","descdesc"
"000000000000000625","DES03"
"000000000000000626","DESC02KG"
"000000000000000627","g"
"000000000000000628","H"
"000000000000000629","G"
"000000000000000630","G"
"000000000000000631","G"
"000000000000000632","G"
"000000000000000633","G"
"000000000000000634","H"
"000000000000000635","G"
"000000000000000636","GT"
"000000000000000637","g"
"000000000000000640","RAW MATERIAL 01"
"000000000000000641","h"
"000000000000000642","g"
"000000000000000643","DESC1"
"000000000000000644","DESC1"
"000000000000000645","DESC1"
"000000000000000646","DESC2"
"000000000000000647","DESC1"
"000000000000000648","DESC2"
"000000000000000649","DESC1"
"000000000000000650","DESC2"
"000000000000000651","DESC1"
"000000000000000652","DESC2"
"000000000000000653","DESC01 KG"
"000000000000000654","DESC02 KG"
"000000000000000655","F"
"000000000000000656","K"
"000000000000000657","J"
"000000000000000658","DEC01"
"000000000000000659","DEC02"
"000000000000000660","DEC01"
"000000000000000661","DEC02"
"000000000000000662","DEC01"
"000000000000000663","DEC02"
"000000000000000664","F"
"000000000000000665","DESC01"
"000000000000000666","DESC02"
"000000000000000668","DESC2"
"000000000000000669","DESC2"
"000000000000000671","DESC1"
"000000000000000672","DESC2"
"000000000000000673","DESC"
"000000000000000674","DESC1"
"000000000000000675","DESC2"
"000000000000000676","DESC1"
"000000000000000677","DESC2"
"000000000000000678","DESC1"
"000000000000000679","DESC2"
"000000000000000680","DESC1"
"000000000000000681","DESC2"
"000000000000000684","DESC1"
"000000000000000685","DESC2"
"000000000000000686","DESC1"
"000000000000000687","DESC2"
"000000000000000688","sd"
"000000000000000689","dsc"
"000000000000000690","DESC2"
"000000000000000691","desc"
"000000000000000692","desc"
"000000000000000693","eeeee"
"000000000000000695","eeeee"
"000000000000000696","eeeee"
"000000000000000697","eeeee"
"000000000000000698","eeeee"
"000000000000000699","TEST Material"
"000000000000000700","desc090"
"000000000000000701","DESC"
"000000000000000702","John Wayne (jwayne)"
"000000000000000703","Heated, Automatic Rear View Mirror"
"000000000000000704","Heated, Rear View Mirror"
"000000000000000705","Rear View Mirror"
"000000000000000706","RAW MATERIAL 01"
"000000000000000707","RAW MATERIAL 01"
"000000000000000709","RAW MATERIAL 01"
"000000000000000711","T	DESC01	KG"
"000000000000000712","D090"
"000000000000000713","D789"
"000000000000000714","DESCRIPTION"
"000000000000000715","COUP"
"000000000000000716","DESCRIPTION"
"000000000000000717","DSDS"
"000000000000000718","TYTY"
"000000000000000719","MCA Tejas 2"
"000000000000000720","MCA Tejas 2 Engine"
"000000000000000721","DSDS"
"000000000000000722","TYTY"
"000000000000000723","DSDS"
"000000000000000724","TYTY"
"000000000000000725","DSDS"
"000000000000000726","TYTY"
"000000000000000727","DSDS"
"000000000000000728","TYTY"
"000000000000000729","DSDS"
"000000000000000730","TYTY"
"000000000000000731","DSDS"
"000000000000000732","TYTY"
"000000000000000733","DSDS"
"000000000000000734","TYTY"
"000000000000000735","DSDS"
"000000000000000736","DSDS"
"000000000000000737","DSDS"
"000000000000000738","DSDS"
"000000000000000739","DSDS"
"000000000000000740","DSDS"
"000000000000000741","DSDS"
"000000000000000742","TYTY"
"000000000000000743","DSDS"
"000000000000000744","TYTY"
"000000000000000745","DSDS"
"000000000000000746","TYTY"
"000000000000000747","DSDS"
"000000000000000748","TYTY"
"000000000000000749","DSDS"
"000000000000000750","TYTY"
"000000000000000751","DSDS"
"000000000000000752","TYTY"
"000000000000000753","DSDS"
"000000000000000754","TYTY"
"000000000000000755","DSDS"
"000000000000000756","TYTY"
"000000000000000757","DSDS"
"000000000000000758","TYTY"
"000000000000000759","DSDS"
"000000000000000760","TYTY"
"000000000000000761","DSDS"
"000000000000000762","TYTY"
"000000000000000763","DSDS"
"000000000000000764","TYTY"
"000000000000000765","DSDS"
"000000000000000766","TYTY"
"000000000000000767","DSDS"
"000000000000000768","TYTY"
"000000000000000769","MCA Tejas 2 Body"
"000000000000000770","DSDS"
"000000000000000771","TYTY"
"000000000000000772","TGTR"
"000000000000000773","DSDS"
"000000000000000774","TYTY"
"000000000000000775","DSDS"
"000000000000000776","TYTY"
"000000000000000777","MCA Tejas 2 Sensors"
"000000000000000778","MCA Tejas 2 rotars"
"000000000000000781","DSDS"
"000000000000000782","TYTY"
"000000000000000783","ghg"
"000000000000000785","Moto E5"
"000000000000000786","Moto E5 Screen"
"000000000000000787","Moto E5 Sensor"
"000000000000000788","Moto E5 Camera"
"000000000000000791","test-material 001"
"000000000000000792","DSDS"
"000000000000000793","TYTY"
"000000000000000794","DSDS"
"000000000000000795","TYTY"
"000000000000000796","DSDS"
"000000000000000797","TYTY"
"000000000000000798","DSDS"
"000000000000000799","TYTY"
"000000000000000800","F"
"000000000000000801","DSDS"
"000000000000000802","TYTY"
"000000000000000803","DSDS"
"000000000000000804","TYTY"
"000000000000000805","DSDS"
"000000000000000806","TYTY"
"000000000000000807","DSDS"
"000000000000000808","TYTY"
"000000000000000809","DSDS"
"000000000000000810","TYTY"
"000000000000000811","test"
"000000000000000812","test-fin material 001"
"000000000000000814","Mobile"
"000000000000000815","Mobile Screen"
"000000000000000816","RAW MATERIAL 01"
"000000000000000820","RAW MATERIAL 01"
"000000000000000821","FINISHED GOODS"
"000000000000000822","RAW MATERIAL 01"
"000000000000000823","RAW MATERIAL 01"
"000000000000000831","RAW MATERIAL 01"
"000000000000000832","RVP Test 100"
"000000000000000833","Testing ROH1"
"000000000000000834","Testing ROH1"
"000000000000000835","RAW MATERIAL 01"
"000000000000000836","RAW MATERIAL 01"
"000000000000000837","FINISHED GOODS"
"000000000000000839","FINISHED GOODS"
"000000000000000840","RAW MATERIAL 01"
"000000000000000841","BODY BLACK B1001"
"000000000000000843","Test ROH Material"
"000000000000000846","RAW MATERIAL 01"
"000000000000000851","Packging material"
"000000000000000852","RAW MATERIAL 01"
"000000000000000853","RAW MATERIAL 01"
"000000000000000854","RAW MATERIAL 01"
"000000000000000855","RAW MATERIAL 01"
"000000000000000856","test ROH batch materia for recurring ins"
"000000000000000857","test ROH batch materia for recurring ins"
"000000000000000860","test ROH batch materia for recurring ins"
"000000000000000862","77267AIA PLC & SCADA System- L3P3"
"000000000000000863","RAW MATERIAL 01"
"000000000000000864","FINISHED GOODS"
"000000000000000865","RAW MATERIAL 01"
"000000000000000866","FINISHED GOODS"
"000000000000000867","RAW MATERIAL 01"
"000000000000000882","material for 882"
"000000000000000885","raw2 material"
"000000000000000886","test"
"000000000000000888","FG PI"
"000000000000000889","ROH1 PI"
"000000000000000890","CP Prototype"
"000000000000000891","Raw Material 01 for ENG01"
"000000000000000892","Raw Material 02 for ENG01"
"000000000000000893","_151-01306"
"000000000000000894","_151-01306"
"000000000000000895","_151-01306"
"000000000000000896","_151-01306"
"000000000000000897","Mining"
"000000000000000898","Raw Material 03 for ENG01"
"000000000000000899","Test"
"000000000000000900","Test"
"000000000000000901","Row material"
"000000000000000902","Test HALB"
"000000000000000921","SOP Test product group"
"000000000000000922","SOP Test MAT1"
"000000000000000923","SOP Test MAT2"
"000000000000000931","TEST for QM practice"
"000000000000000941","Quality Management Test mat."
"000000000000000942","Quality Management Test mat. 2"
"000000000000000943","TEST for QM practice ROH"
"000000000000000945","TEST for QM practice ROH"
"000000000000000952","Quality Management Test mat."
"000000000000000953","Quality Management Test mat."
"000000000000000957","Quality Management Test mat."
"000000000000000959","Quality Management Test mat."
"000000000000000962","Quality Management Test mat."
"000000000000000971","Test Material"
"000000000000000976","TEST REM"
"000000000000000977","TEST REM ROH"
"000000000000000978","TEST REM"
"000000000000000979","TEST REM ROH"
"000000000000000980","Raw Material 01 for 150cc Engine"
"000000000000000992","test2"
"000000000000000993","test3"
"000000000000000994","test2"
"000000000000000995","TEST5"
"000000000000000996","TEST5"
"000000000000000997","TEST5"
"000000000000000998","TEST5"
"000000000000000999","TEST5"
"000000000000001002","Test"
"000000000000001003","Test Raw"
"000000000000001006","Test Semi"
"000000000000001034","Ball Bearing. Part No 1212"
"000000000000001035","Roller Bearing"
"000000000000001037","Sound Assembly"
"000000000000001039","Finish Good testing"
"000000000000001041","Test"
"000000000000001051","Battery_272023AGG"
"000000000000001061","Discrete Manu. Finish Mat TEST"
"000000000000001076","Automatic Washing Machine 1"
"000000000000001077","Automatic Washing Machine 1"
"000000000000001078","Automatic Washing Machine 1"
"000000000000001083","EV sedan"
"000000000000001102","Gold Chain"
"000000000000001111","ddad"
